w,rd,gra,sil,silNP
-1.9,0.07776977644916472,0.37006758297416065,0.3857548859197891,1.5005318365642362
-1.895,0.0758638265068412,0.3881215901134689,0.40516583677375284,1.3974739347028984
-1.89,0.0741050792361298,0.4112620628221034,0.42990469295740896,1.2989653990371033
-1.885,0.07248164450143113,0.44008069937108646,0.4605599271096147,1.2067789510519336
-1.88,0.07098290951646377,0.4751892827408283,0.4977186075607716,1.1217936753080608
-1.875,0.06959938662531134,0.5171492406242938,0.5418820483982376,1.0442652186729957
-1.87,0.06832258174435925,0.5663564234669427,0.5933327662866359,0.974046590135781
-1.865,0.06714488042521051,0.6228699522941659,0.6519440963182737,0.910752553993684
-1.86,0.0660594489812702,0.6861846938731597,0.7169387578112802,0.8538739991353741
-1.855,0.06506014852254566,0.7549724065394042,0.786633840808518,0.8028531354815083
-1.85,0.0641414600783898,0.826859281556338,0.8582563528528426,0.757130275976417
-1.845,0.06329841926796284,0.8983562973078024,0.927957491712526,0.7161710875509977
-1.84,0.0625265592126393,0.9650786679326019,0.991152947291793,0.6794809782492063
-1.835,0.06182186058124979,1.0223312126829085,1.0432232573581275,0.6466113359308207
-1.83,0.06118070782437665,1.0659768566306556,1.0804255144765909,0.617160818483597
-1.825,0.06059985079320948,1.093314413110573,1.1006969928988093,0.5907737986584509
-1.82,0.060076371056094334,1.103616663636547,1.1040218657834886,0.5671373076030057
-1.815,0.059607652325482055,1.0981168213414185,1.092231054846478,0.5459773121281003
-1.81,0.0591913544924862,1.0795012016578633,1.0683778173576488,0.5270548275324568
-1.805,0.058825390838168526,1.051172323389065,1.0359843551072103,0.5101621542255006
-1.8,0.058507908052039204,1.0165686901333153,0.9984189017543927,0.4951193923048929
-1.795,0.05823726874078697,0.9787078609013515,0.9585213549877201,0.48177130606347396
-1.79,0.05801203615538003,0.9399773911157222,0.9184655106583516,0.46998456159775204
-1.785,0.05783096090357409,0.9021126597776221,0.8797826825545882,0.4596453330538237
-1.78,0.0576929694485481,0.8662797413399851,0.8434664651548279,0.4506572586332953
-1.775,0.057597154223684804,0.8331977116430083,0.8101007136876929,0.4429397211840473
-1.77,0.05754276521914285,0.8032607167054857,0.7799786438142178,0.43642642677149024
-1.765,0.05752920291843061,0.7766415316217048,0.7532000248041939,0.43106425602395776
-1.76,0.057556012483202176,0.7533716500955563,0.7297444265123533,0.42681236600472283
-1.755,0.057622879102399924,0.7333995769263439,0.7095234999462665,0.42364152410643996
-1.75,0.05772962443804874,0.7166314448494497,0.6924168091799889,0.42153365951847555
-1.745,0.05787620411479988,0.7029583676504061,0.6782955920431198,0.420481621887982
-1.74,0.0580627062140298,0.6922743307755663,0.6670380587676903,0.42048914067521004
-1.735,0.05828935074618734,0.6844875657308465,0.6585389602499419,0.4215709822069784
-1.73,0.05855649008740239,0.6795275441174,0.6527153819766032,0.42375330433281866
-1.725,0.05886461037834571,0.6773490555836166,0.6495101027737835,0.42707421055020767
-1.72,0.05921433389519322,0.6779343055620171,0.6488933888048102,0.4315845059563142
-1.715,0.05960642241450608,0.6812935518252684,0.6508637381722421,0.4373486555519088
-1.71,0.06004178160611557,0.6874644508435342,0.6554478104094189,0.44444593991686965
-1.705,0.06052146650092069,0.696509960817987,0.6626995295150658,0.45297179197512605
-1.7,0.061046688094104254,0.7085143032993869,0.6726981020188509,0.4630392781796221
-1.695,0.06161882115890194,0.7235760747047836,0.6855444058333635,0.4747806529265915
-1.69,0.06223941336200556,0.74179707989955,0.7013548426872163,0.4883488586990252
-1.685,0.0629101957892423,0.763264799751747,0.7202512672778831,0.5039187549036958
-1.68,0.06363309500972054,0.7880256042541697,0.7423449766628578,0.5216877188401191
-1.675,0.064410246828541,0.816044968798423,0.7677119570602702,0.5418750488285013
-1.67,0.06524401190292878,0.8471503152191964,0.7963557081485144,0.5647192796105543
-1.665,0.0661369934247608,0.8809523072146581,0.8281532276085681,0.5904720523300533
-1.66,0.06709205710457719,0.9167426916958031,0.8627796952806174,0.6193865201644536
-1.655,0.06811235372900223,0.9533730665693613,0.8996091535593583,0.651697382325013
-1.65,0.06920134460591915,0.9891317673880605,0.9375939097805588,0.6875885420032057
-1.645,0.07036283026075499,1.0216569702529155,0.9751370039281587,0.7271432344072839
-1.64,0.07160098280404617,1.04795006931097,1.009991876287906,0.7702707258982284
-1.635,0.07292038245648022,1.0645710308485337,1.0392494951549611,0.8166043603462161
-1.63,0.07432605879456516,1.068080044922341,1.059494363528622,0.8653697103192983
-1.625,0.07582353736995323,1.0557087556987177,1.0672020386746706,0.915231741580268
-1.62,0.07741889246068553,1.0261039605250282,1.0593814602758251,0.9641492656531587
-1.615,0.0791188068360751,0.9798610530361791,1.0343307923220022,1.0092938413345145
-1.61,0.08093063956209058,0.919573880646373,0.992237518815505,1.0471202838406546
-1.605,0.08286250304503541,0.8493247244047517,0.9353317016455054,1.0736833735954017
-1.6,0.08492335071300278,0.7738118454356067,0.867469957448036,1.085244396005355
-1.595,0.08712307697294414,0.697463855060343,0.7933035441803152,1.0790816247251573
-1.59,0.08947263136328122,0.6238272676137142,0.7173691889264929,1.0542542218241526
-1.585,0.09198414915632858,0.5553236210440998,0.6434136837891201,1.011989849303403
-1.58,0.09467110106142809,0.49330599634018235,0.5740842764827124,0.9554834118541078
-1.575,0.09754846515069449,0.43827811191937716,0.5109380575860372,0.8891714189306796
-1.57,0.10063292468879159,0.3901557019326527,0.4546387668908172,0.8177909996418041
-1.565,0.10394309621295632,0.34849864729638313,0.40521470981628716,0.7455748480301034
-1.56,0.10749979299895798,0.31268644291883196,0.3622975214777758,0.6757849641962035
-1.555,0.11132632998517514,0.2820364428977203,0.32530761073796305,0.6105940180549967
-1.55,0.11544887733554404,0.2558758716642644,0.29358196221220123,0.5512046101187176
-1.545,0.11989687113016093,0.23358090105689505,0.2664537945112747,0.49807562767267344
-1.54,0.12470349120807905,0.21459427064800535,0.24329715690373185,0.4511600912957497
-1.535,0.12990621797713145,0.19842996368221869,0.22354826287282797,0.410105239668384
-1.53,0.13554748207090164,0.18467069764869462,0.20671252900024709,0.3744000648060934
-1.525,0.14167542307943945,0.17296187318699974,0.19236349315314863,0.34347406048460905
-1.52,0.14834477618599914,0.16300415590124365,0.18013757629045815,0.3167578520598138
-1.515,0.1556179083341764,0.15454591020967323,0.16972708955325705,0.2937169687460033
-1.51,0.16356602836756573,0.14737611323606686,0.160872858070213,0.2738680577383964
-1.505,0.17227059811900097,0.14131802702280016,0.15335718777664692,0.2567843384805609
-1.5,0.18182497312650772,0.13622371020305127,0.1469975150573282,0.24209490087117672
-1.495,0.19233630157117082,0.1319693460368911,0.14164085781178637,0.22948079447423203
-1.49,0.20392770658669485,0.1284513141330525,0.13715906698589989,0.218669705872695
-1.485,0.21674076769338246,0.12558291453905523,0.13344481849459097,0.20943026626252387
-1.48,0.23093829759069903,0.12329165090981334,0.13040826100945005,0.20156655601924628
-1.475,0.24670737427842632,0.12151698579089215,0.12797422964926658,0.19491308450869488
-1.47,0.26426252509179676,0.12020849092120006,0.12607993993102506,0.18933035493824804
-1.465,0.2838488527443339,0.11932432627505773,0.1246730850911276,0.1847010302214323
-1.46,0.3057447197477976,0.11882999199328828,0.12371027012029669,0.18092666717068548
-1.455,0.330263331255351,0.11869730678685358,0.12315572601928132,0.17792496421656595
-1.45,0.3577521278319054,0.11890357462285098,0.12298025713156019,0.17562746078803776
-1.445,0.38858825414024534,0.11943090851932474,0.12316038265103359,0.17397762754323112
-1.44,0.4231674334811609,0.12026568618184444,0.1236776404872067,0.1729292917236192
-1.435,0.46188229372801604,0.12139811715186771,0.12451802766937134,0.17244534867296732
-1.43,0.5050845795455114,0.12282190525433098,0.12567155651002712,0.17249671772569403
-1.425,0.5530239903411074,0.12453399357246096,0.12713190996805412,0.17306150756217345
-1.42,0.6057553242694365,0.12653438207026216,0.1288961831930521,0.1741243624483967
-1.415,0.6630067863144022,0.12882601044022787,0.1309647012215529,0.17567596642605676
-1.41,0.7240086268584515,0.13141470087277435,0.1333409053466399,0.17771268750824118
-1.405,0.7872968094112281,0.13430915730795018,0.1360313028932698,0.18023634833205715
-1.4,0.8505346235831899,0.1375210194105556,0.13904547708713647,0.18325411361192515
-1.395,0.9104336096054706,0.14106497106836324,0.1423961554782649,0.1867784882195157
-1.39,0.9628867909820961,0.14495890470284387,0.14609933703464612,0.19082742287545826
-1.385,1.0034153663512504,0.14922414414861346,0.15017447961024477,0.19542452734696797
-1.38,1.0279342739795094,0.15388573034084432,0.154644751061914,0.20059939375674504
-1.375,1.033666388175447,0.15897277558050596,0.15953734887895815,0.20638803514482112
-1.37,1.0198744147978205,0.1645188937472126,0.16488389482552912,0.2128334467675219
-1.365,0.9880810266370146,0.1705627155055948,0.17072091279425639,0.21998629968526184
-1.36,0.9416665363071114,0.17714849928827084,0.17709039982404093,0.2279057778087557
-1.355,0.8850340356570005,0.18432685058541604,0.18404050200880753,0.2366605704228865
-1.35,0.8226979513156232,0.19215556371929565,0.19162630873018985,0.24633003174918155
-1.345,0.7585959123093058,0.2007006016323848,0.1999107801194336,0.25700551646050834
-1.34,0.6957414428843207,0.2100372299257234,0.20896582360013857,0.2687918938189203
-1.335,0.6361729344205684,0.2202513208785035,0.21887353529402234,0.28180923105859945
-1.33,0.5810833799260462,0.23144084053316824,0.2297276201868784,0.2961946153447111
-1.325,0.5310210723407935,0.2437175256624209,0.24163499996950163,0.31210404782317724
-1.32,0.4860895962619601,0.25720874521190756,0.25471760736136706,0.32971428490501953
-1.315,0.4461133423649228,0.27205951899503844,0.2691143473226201,0.34922440896209717
-1.31,0.41076001143996,0.28843462938470027,0.2849831739535385,0.37085676533098316
-1.305,0.3796242622630823,0.30652070092281286,0.3025031795526925,0.39485667954918546
-1.3,0.3522810461702193,0.3265280252438327,0.3218765078927505,0.4214900332081867
-1.295,0.32831729357939715,0.34869175542287134,0.34332977039540524,0.4510372839985161
-1.29,0.30734907859804644,0.3732718574379694,0.3671144370711045,0.4837818153326837
-1.285,0.2890295300649187,0.4005508492005007,0.3935053596438913,0.519989553987424
-1.28,0.2730511343044985,0.4308278312724322,0.42279611723069643,0.5598756132835155
-1.275,0.2591448358073106,0.4644065640844378,0.45528920232197606,0.6035524593097666
-1.27,0.24707746476024006,0.5015743328746488,0.4912781385089336,0.6509532266678946
-1.265,0.2366484287598568,0.5425670812435807,0.5310174334566022,0.7017243869977666
-1.26,0.22768622097513513,0.5875149637792372,0.5746749329581358,0.7550859888385979
-1.255,0.22004505354757392,0.6363615923294317,0.6222600433388906,0.8096682056311811
-1.25,0.21360177523256246,0.6887510038685338,0.6735213616797081,0.8633532968801003
-1.245,0.20825314291404073,0.7438809412932498,0.7278103256436653,0.9131828846743957
-1.24,0.20391346539439115,0.8003326956507182,0.7839165304386222,0.9554231176107117
-1.235,0.2005126102544822,0.855909898084038,0.8398989324955711,0.9858899180709791
-1.23,0.19799435131636706,0.9075512468084813,0.8929668915589756,1.0005845535735314
-1.225,0.19631502949174284,0.9514148321743814,0.9394996612767591,0.9965532367696961
-1.22,0.19544249995699436,0.983236754017676,0.9753106224667005,0.9727075883884637
-1.215,0.19535534146952466,0.9990043553108916,0.9962252615463848,0.930253716519317
-1.21,0.19604230792719493,0.9958366960485139,0.9989193663758605,0.8724973835941159
-1.205,0.19750200721749672,0.9727883423450836,0.9817846244071347,0.8040865387776923
-1.2,0.19974279757862545,0.9312235679051807,0.9454699114339663,0.7300161958203625
-1.195,0.20278289685837858,0.8745560306856207,0.8928232373021845,0.6547702679709879
-1.19,0.20665070505168717,0.8074525744322991,0.8282330916589461,0.581819593203715
-1.185,0.21138534517451624,0.7348436232313941,0.7566554129735611,0.5134888120909968
-1.18,0.21703743167763803,0.6611023246240595,0.682708466337256,0.45107728471671543
-1.175,0.2236700788570293,0.5895853960589376,0.6100929591845002,0.3950955531276318
-1.17,0.23136016345559424,0.5225291108227589,0.5413872718139908,0.345515578324742
-1.165,0.24019985482274908,0.46118089357797454,0.47812146362311025,0.30198201706472855
-1.16,0.2502984208734101,0.40603300833948286,0.420992360611795,0.2639684336626221
-1.155,0.26178430587051876,0.3570638429495806,0.37011027679654085,0.23088213875559813
-1.15,0.2748074523021293,0.3139394208522846,0.3252160934895194,0.20212877717155386
-1.145,0.2895417968716111,0.2761616744298405,0.2858464879960525,0.17714849307316657
-1.14,0.30618779911153204,0.2431678547962691,0.2514476650316845,0.1554334712744697
-1.135,0.32497474403141824,0.21439190707957434,0.22144733775819003,0.13653403299017788
-1.13,0.3461623732487655,0.18929903909540302,0.19529649933068954,0.12005815568030934
-1.125,0.37004110730664114,0.1674027053872041,0.17249097802835078,0.10566753997473179
-1.12,0.3969296775045263,0.14827074434455978,0.1525802950422814,0.09307213231446332
-1.115,0.427168328323775,0.13152524166181473,0.13516902891999727,0.08202421336911209
-1.11,0.4611048176101493,0.1168390612028997,0.11991408347971876,0.07231265865320319
-1.105,0.4990691923922607,0.10393084938333633,0.1065199731139558,0.06375767149064207
-1.1,0.5413318102143313,0.09255957108970239,0.09473338174880241,0.05620610906570586
-1.095,0.5880376076991299,0.08251916149260097,0.08433770269206414,0.04952742192913106
-1.09,0.6391089938750629,0.07363358845850419,0.07514792752816737,0.04361017485761113
-1.085,0.6941116610396253,0.06575244931112857,0.06700604996543409,0.038359092699417195
-1.08,0.7520849995898324,0.058747129041693075,0.05977703463683256,0.03369256661040261
-1.075,0.8113556075757367,0.05250749571634125,0.05334533798489548,0.029540556534634672
-1.07,0.8693814154292215,0.04693908435756976,0.047611937209743806,0.025842830560572003
-1.065,0.9227113317999405,0.041960711544509616,0.04249181050875263,0.022547488382646867
-1.06,0.9671720153359122,0.03750246242205918,0.03791180933739381,0.019609723131188615
-1.055,0.9983717271565236,0.03350399558183897,0.033808866286894654,0.016990782575462236
-1.05,1.0125039103377977,0.02991311696734936,0.030128487544491805,0.014657096814912536
-1.045,1.0072533076369552,0.02668458020697149,0.02682348515183861,0.012579544929530522
-1.04,0.9824601004326192,0.023779076869379457,0.023852910525585958,0.010732837655953934
-1.035,0.9402284667440901,0.021162385715157026,0.021181156508771025,0.00909499704457072
-1.03,0.884410925798641,0.01880465494654221,0.018777200392535432,0.007646917312901466
-1.025,0.8197015504731496,0.016679795711219986,0.01661396483536492,0.006371993826962512
-1.02,0.7507121967237692,0.014764968732987431,0.01466777743607901,0.005255809397317161
-1.015,0.6813199119138855,0.013040148986215834,0.01291791294689786,0.004285868944690669
-1.01,0.6143764927482889,0.011487755875692632,0.01134620481710252,0.0034513751367539103
-1.005,0.5517121631898957,0.01009233850107782,0.009936715010343633,0.0027430388789719197
-1.,0.49430566841849777,0.008840307342665263,0.008675452909087604,0.002152919605577563
-0.995,0.4425089062314108,0.00771970516145672,0.007550135670088836,0.0016742912013233194
-0.99,0.39625769814101974,0.006720011112716273,0.006549983679023701,0.0013015301236037817
-0.985,0.3552395514662147,0.005831973071379775,0.005665545816376454,0.001030022915131996
-0.98,0.31901380425393266,0.005047463996193036,0.00488855012890038,0.000856090822259114
-0.975,0.2870909677785742,0.004359358847401576,0.004211776233645497,0.0007769296821065563
-0.97,0.25898134944884305,0.0037614291451767206,0.003628946391307261,0.0007905636287230438
-0.965,0.23422238325502892,0.003248252733345498,0.0031346326945435113,0.0008958115078237685
-0.96,0.21239208959173322,0.002815136712375591,0.002724178243104218,0.0010922651927419455
-0.955,0.19311398137904076,0.0024580518409367666,0.0023936305361153833,0.001380279270992709
-0.95,0.17605699676890252,0.0021735769882483065,0.0021396856150380362,0.001760971830225153
-0.945,0.16093275940587998,0.0019588524593558486,0.0019596417489411203,0.002236236322525956
-0.94,0.14749158593616452,0.0018115412203564955,0.001851361675315296,0.0028087647348574523
-0.935,0.13551808040393587,0.0017297972269860482,0.001813242601859465,0.0034820825486098403
-0.93,0.12482678646724159,0.0017122402134139346,0.0018441933435253367,0.004260596240785855
-0.925,0.1152581410601725,0.0017579364332272894,0.0019436181197747834,0.005149654371712406
-0.92,0.10667483732315627,0.00186638496542783,0.002111406673973487,0.00615562362874337
-0.915,0.09895862650502393,0.0020375093082931964,0.002347930504096855,0.007285981562744836
-0.91,0.09200754596048476,0.002271654086262594,0.0026540451150819716,0.008549428176436785
-0.905,0.08573353916805204,0.0025695867924086,0.0030310983216223553,0.009956019015168295
-0.9,0.0800604250025573,0.0029325045841918484,0.0034809447492661636,0.011517322988315164
-0.895,0.07492217184775923,0.0033620462456177163,0.004005966804657417,0.013246608833303461
-0.89,0.0702614342223166,0.0038603095271846884,0.004609102516101753,0.015159064948284081
-0.885,0.06602831345908489,0.004429874178787817,0.005293880787053187,0.017272058292355716
-0.88,0.06217930849660254,0.005073831102862845,0.006064464761709576,0.019605439218065155
-0.875,0.05867642739074726,0.005795818178658186,0.0069257041783234025,0.022181900499995043
-0.87,0.0554864344135781,0.006600063447140446,0.007883197787450669,0.025027400502700328
-0.865,0.052580211431476245,0.007491436503735791,0.008943367145468832,0.028171662445152196
-0.86,0.04993221560215723,0.008475509127633686,0.010113543365747383,0.03164876412763286
-0.855,0.04752001831035671,0.00955862638733318,0.011402068729757023,0.03549783535524037
-0.85,0.04532391271233214,0.010747989709168685,0.012818415438841317,0.039763883683442657
-0.845,0.04332657932823887,0.01205175368671368,0.014373324237232424,0.04449877307840721
-0.84,0.04151280085977216,0.013479138753853337,0.016078966173714813,0.04976238465229635
-0.835,0.03986921886673679,0.015040562254558078,0.017949131411917885,0.05562399376526604
-0.83,0.03838412615446107,0.016747790932034132,0.01999944977019693,0.062163903331163534
-0.825,0.037047289742961134,0.01861411844595133,0.02224764859870301,0.06947537876777377
-0.82,0.03584980014190578,0.02065457222936899,0.024713854716155885,0.07766693498558283
-0.815,0.03478394337120744,0.02288615484151047,0.027420948470763915,0.08686502880377928
-0.81,0.03384309276952002,0.025328125988312446,0.030394979604154472,0.09721720891886651
-0.805,0.03302161814229327,0.028002332605017534,0.033665656536585466,0.10889576611039795
-0.8,0.03231481023430276,0.03093359586563636,0.03726692301510952,0.12210190222534531
-0.795,0.031718818883039984,0.03415016575131638,0.041237638837429515,0.13707038699128743
-0.79,0.03123060353107228,0.037684255928563955,0.04562238464677497,0.15407457983245854
-0.785,0.030847895057742845,0.041572674219385326,0.05047241464252444,0.17343153292793845
-0.78,0.03056916814222,0.04585756695151194,0.055846785497908474,0.1955066211304515
